,SAMPLE_ID,식품코드,식품명,식품대분류,식품상세분류
6932,D018173-ZZ-AVG,D018173,비빔냉면,면 및 만두류,국수류
6933,D018174-ZZ-AVG,D018174,사골만두국,국 및 탕류,육류국.탕
6934,D018175-ZZ-AVG,D018175,수제비,면 및 만두류,기타 면류
6936,D018177-ZZ-AVG,D018177,월남쌈,기타,기타
6937,D018178-ZZ-AVG,D018178,잔치국수,면 및 만두류,국수류
6938,D018179-ZZ-AVG,D018179,쟁반국수,면 및 만두류,국수류
6939,D018180-ZZ-AVG,D018180,짜장면,면 및 만두류,중식면류
6940,D018181-ZZ-AVG,D018181,짬뽕,면 및 만두류,중식면류
6941,D018182-ZZ-AVG,D018182,쫄면,면 및 만두류,국수류
6942,D018183-ZZ-AVG,D018183,칼국수,면 및 만두류,국수류
6943,D018184-ZZ-AVG,D018184,콩국수,면 및 만두류,국수류
6944,D018185-ZZ-AVG,D018185,회냉면,면 및 만두류,국수류
6945,D018186-ZZ-AVG,D018186,검정콩밥,밥류,쌀밥.잡곡밥류
6946,D018187-ZZ-AVG,D018187,계란볶음밥,밥류,볶음밥류
6947,D018188-ZZ-AVG,D018188,고추김밥,밥류,김밥(초밥)류
6948,D018189-ZZ-AVG,D018189,기장밥,밥류,쌀밥.잡곡밥류
6949,D018190-ZZ-AVG,D018190,김밥,밥류,김밥(초밥)류
6950,D018191-ZZ-AVG,D018191,김치김밥,밥류,김밥(초밥)류
6951,D018192-ZZ-AVG,D018192,김치볶음밥,밥류,볶음밥류
6952,D018193-ZZ-AVG,D018193,낙지덮밥,밥류,덮밥류
6953,D018194-ZZ-AVG,D018194,날치알김밥,밥류,김밥(초밥)류
6954,D018195-ZZ-AVG,D018195,닭고기덮밥,밥류,덮밥류
6955,D018196-ZZ-AVG,D018196,돈까스김밥,밥류,김밥(초밥)류
6956,D018197-ZZ-AVG,D018197,돌솥비빔밥,밥류,비빔밥류
6957,D018198-ZZ-AVG,D018198,돼지머리국밥,밥류,기타 밥류
6958,D018199-ZZ-AVG,D018199,모듬회덮밥,밥류,덮밥류
6959,D018200-ZZ-AVG,D018200,무밥,밥류,기타 밥류
6960,D018201-ZZ-AVG,D018201,보리밥,밥류,쌀밥.잡곡밥류
6961,D018202-ZZ-AVG,D018202,볶음밥,밥류,볶음밥류
6962,D018203-ZZ-AVG,D018203,불고기덮밥,밥류,덮밥류
6964,D018205-ZZ-AVG,D018205,새우볶음밥,밥류,볶음밥류
6965,D018206-ZZ-AVG,D018206,생선모듬초밥,밥류,김밥(초밥)류
6966,D018207-ZZ-AVG,D018207,쇠머리국밥,밥류,기타 밥류
6967,D018208-ZZ-AVG,D018208,쇠고기김밥,밥류,김밥(초밥)류
6968,D018209-ZZ-AVG,D018209,쇠고기볶음밥,밥류,볶음밥류
6969,D018210-ZZ-AVG,D018210,쇠고기주먹밥,밥류,김밥(초밥)류
6970,D018211-ZZ-AVG,D018211,수수밥,밥류,쌀밥.잡곡밥류
6971,D018212-ZZ-AVG,D018212,순대국밥,밥류,기타 밥류
6972,D018213-ZZ-AVG,D018213,알밥,밥류,기타 밥류
6973,D018214-ZZ-AVG,D018214,영양돌솥밥,밥류,기타 밥류
6974,D018215-ZZ-AVG,D018215,오므라이스,밥류,볶음밥류
6975,D018216-ZZ-AVG,D018216,오징어덮밥,밥류,덮밥류
6976,D018217-ZZ-AVG,D018217,완두콩밥,밥류,쌀밥.잡곡밥류
6977,D018218-ZZ-AVG,D018218,유부초밥,밥류,김밥(초밥)류
6978,D018219-ZZ-AVG,D018219,육회비빔밥,밥류,비빔밥류
6979,D018220-ZZ-AVG,D018220,잡곡밥,밥류,쌀밥.잡곡밥류
6980,D018221-ZZ-AVG,D018221,잡채밥,밥류,덮밥류
6981,D018222-ZZ-AVG,D018222,제육덮밥,밥류,덮밥류
6982,D018223-ZZ-AVG,D018223,짜장밥,밥류,덮밥류
6983,D018224-ZZ-AVG,D018224,짬뽕밥,밥류,기타 밥류
6984,D018225-ZZ-AVG,D018225,차조밥,밥류,쌀밥.잡곡밥류
6985,D018226-ZZ-AVG,D018226,찰밥,밥류,쌀밥.잡곡밥류
6986,D018227-ZZ-AVG,D018227,참치김밥,밥류,김밥(초밥)류
6987,D018228-ZZ-AVG,D018228,참치마요삼각김밥,밥류,김밥(초밥)류
6988,D018229-ZZ-AVG,D018229,참치볶음밥,밥류,볶음밥류
6989,D018230-ZZ-AVG,D018230,채소김밥,밥류,김밥(초밥)류
6990,D018231-ZZ-AVG,D018231,채소볶음밥,밥류,볶음밥류
6991,D018232-ZZ-AVG,D018232,치즈김밥,밥류,김밥(초밥)류
6992,D018233-ZZ-AVG,D018233,카레라이스,밥류,덮밥류
6993,D018234-ZZ-AVG,D018234,콩나물국밥,밥류,기타 밥류
6994,D018235-ZZ-AVG,D018235,콩나물밥,밥류,기타 밥류
6995,D018236-ZZ-AVG,D018236,팥밥,밥류,쌀밥.잡곡밥류
6996,D018237-ZZ-AVG,D018237,표고버섯볶음밥,밥류,볶음밥류
6997,D018238-ZZ-AVG,D018238,하이라이스,밥류,덮밥류
6998,D018239-ZZ-AVG,D018239,현미밥,밥류,쌀밥.잡곡밥류
6999,D018240-ZZ-AVG,D018240,흑미밥,밥류,쌀밥.잡곡밥류
7000,D018241-ZZ-AVG,D018241,감자볶음,볶음류,채소류볶음
7001,D018242-ZZ-AVG,D018242,감자채소볶음,볶음류,채소류볶음
7002,D018243-ZZ-AVG,D018243,건새우볶음,볶음류,어패류볶음
7003,D018244-ZZ-AVG,D018244,고추볶음,볶음류,채소류볶음
7004,D018245-ZZ-AVG,D018245,김치볶음,볶음류,채소류볶음
7005,D018246-ZZ-AVG,D018246,꽈리고추멸치볶음,볶음류,어패류볶음
7006,D018247-ZZ-AVG,D018247,낙지볶음,볶음류,어패류볶음
7007,D018248-ZZ-AVG,D018248,느타리버섯볶음,볶음류,채소류볶음
7008,D018249-ZZ-AVG,D018249,닭가슴살피망볶음,볶음류,육류볶음
7009,D018250-ZZ-AVG,D018250,닭발볶음,볶음류,육류볶음
7010,D018251-ZZ-AVG,D018251,닭볶음,볶음류,육류볶음
7011,D018252-ZZ-AVG,D018252,당근볶음,볶음류,채소류볶음
7012,D018253-ZZ-AVG,D018253,돼지고기김치볶음,볶음류,육류볶음
7013,D018254-ZZ-AVG,D018254,돼지고기채소볶음,볶음류,육류볶음
7014,D018255-ZZ-AVG,D018255,돼지곱창순대볶음,볶음류,육류볶음
7015,D018256-ZZ-AVG,D018256,떡볶이,볶음류,떡볶이류
7016,D018257-ZZ-AVG,D018257,라볶이,볶음류,떡볶이류
7017,D018258-ZZ-AVG,D018258,마늘쫑볶음,볶음류,채소류볶음
7018,D018259-ZZ-AVG,D018259,마늘쫑잔멸치볶음,볶음류,어패류볶음
7019,D018260-ZZ-AVG,D018260,마파두부,볶음류,채소류볶음
7020,D018261-ZZ-AVG,D018261,멸치견과류볶음,볶음류,어패류볶음
7021,D018262-ZZ-AVG,D018262,멸치마늘쫑볶음,볶음류,어패류볶음
7022,D018263-ZZ-AVG,D018263,멸치볶음,볶음류,어패류볶음
7023,D018264-ZZ-AVG,D018264,묵은지삼겹살볶음,볶음류,육류볶음
7024,D018265-ZZ-AVG,D018265,문어고추장볶음,볶음류,어패류볶음
7025,D018266-ZZ-AVG,D018266,미역줄기볶음,볶음류,어패류볶음
7026,D018267-ZZ-AVG,D018267,브로콜리볶음,볶음류,채소류볶음
7027,D018268-ZZ-AVG,D018268,새송이버섯볶음,볶음류,채소류볶음
7028,D018269-ZZ-AVG,D018269,새우볶음,볶음류,어패류볶음
7029,D018270-ZZ-AVG,D018270,소시지볶음,볶음류,육류볶음
7030,D018271-ZZ-AVG,D018271,쇠고기고추장볶음,볶음류,육류볶음
7031,D018272-ZZ-AVG,D018272,쇠고기버섯볶음,볶음류,육류볶음
7032,D018273-ZZ-AVG,D018273,쇠고기볶음,볶음류,육류볶음
7033,D018274-ZZ-AVG,D018274,쇠고기채소볶음,볶음류,육류볶음
7034,D018275-ZZ-AVG,D018275,양파볶음,볶음류,채소류볶음
7035,D018276-ZZ-AVG,D018276,어묵볶음,볶음류,어패류볶음
7036,D018277-ZZ-AVG,D018277,어묵잡채,볶음류,어패류볶음
7037,D018278-ZZ-AVG,D018278,어묵채소볶음,볶음류,어패류볶음
7038,D018279-ZZ-AVG,D018279,오징어볶음,볶음류,어패류볶음
7039,D018280-ZZ-AVG,D018280,오징어채볶음,볶음류,어패류볶음
7040,D018281-ZZ-AVG,D018281,유산슬,볶음류,기타 볶음류
7041,D018282-ZZ-AVG,D018282,잔멸치견과류볶음,볶음류,어패류볶음
7042,D018283-ZZ-AVG,D018283,잔멸치고추볶음,볶음류,어패류볶음
7043,D018284-ZZ-AVG,D018284,잔멸치꽈리고추볶음,볶음류,어패류볶음
7044,D018285-ZZ-AVG,D018285,잔멸치볶음,볶음류,어패류볶음
7045,D018286-ZZ-AVG,D018286,잔멸치풋고추볶음,볶음류,어패류볶음
7046,D018287-ZZ-AVG,D018287,잡채,볶음류,기타 볶음류
7047,D018288-ZZ-AVG,D018288,제육볶음,볶음류,육류볶음
7048,D018289-ZZ-AVG,D018289,죽순쇠고기볶음,볶음류,육류볶음
7049,D018290-ZZ-AVG,D018290,참치 김치볶음,볶음류,어패류볶음
7050,D018291-ZZ-AVG,D018291,채소떡볶이,볶음류,떡볶이류
7051,D018292-ZZ-AVG,D018292,콩나물잡채,볶음류,채소류볶음
7052,D018293-ZZ-AVG,D018293,팔보채,볶음류,기타 볶음류
7054,D018295-ZZ-AVG,D018295,햄채소볶음,볶음류,육류볶음
7055,D018296-ZZ-AVG,D018296,BLT샌드위치,빵류,샌드위치류
7056,D018297-ZZ-AVG,D018297,감자크로켓,빵류,기타 빵류
7057,D018298-ZZ-AVG,D018298,꽈배기,빵류,기타 빵류
7058,D018299-ZZ-AVG,D018299,닭가슴살샌드위치,빵류,샌드위치류
7059,D018300-ZZ-AVG,D018300,도넛,빵류,도넛류
7060,D018301-ZZ-AVG,D018301,롤케이크,빵류,케이크류
7061,D018302-ZZ-AVG,D018302,링도넛,빵류,도넛류
7062,D018303-ZZ-AVG,D018303,마늘빵,빵류,기타 빵류
7063,D018304-ZZ-AVG,D018304,머핀,빵류,기타 빵류
7064,D018305-ZZ-AVG,D018305,모닝빵,빵류,식빵류
7065,D018306-ZZ-AVG,D018306,모카빵,빵류,기타 빵류
7066,D018307-ZZ-AVG,D018307,베이글,빵류,기타 빵류
7067,D018308-ZZ-AVG,D018308,불고기버거,빵류,버거류
7068,D018309-ZZ-AVG,D018309,사과파이,빵류,페이스트리류
7069,D018310-ZZ-AVG,D018310,생크림케이크,빵류,케이크류
7070,D018311-ZZ-AVG,D018311,소보로빵,빵류,기타 빵류
7071,D018312-ZZ-AVG,D018312,식빵,빵류,식빵류
7072,D018313-ZZ-AVG,D018313,식빵토스트,빵류,크림빵류
7073,D018314-ZZ-AVG,D018314,찐빵,빵류,앙금빵류
7074,D018315-ZZ-AVG,D018315,참치 샌드위치,빵류,샌드위치류
7075,D018316-ZZ-AVG,D018316,찹쌀도넛,빵류,도넛류
7076,D018317-ZZ-AVG,D018317,채소샌드위치,빵류,샌드위치류
7077,D018318-ZZ-AVG,D018318,초코 소라빵,빵류,기타 빵류
7078,D018319-ZZ-AVG,D018319,츄러스,빵류,기타 빵류
7079,D018320-ZZ-AVG,D018320,치킨버거,빵류,버거류
7080,D018321-ZZ-AVG,D018321,카스텔라,빵류,케이크류
7081,D018322-ZZ-AVG,D018322,콤비네이션피자,빵류,피자류
7082,D018323-ZZ-AVG,D018323,크로아상,빵류,페이스트리류
7083,D018324-ZZ-AVG,D018324,페이스트리,빵류,페이스트리류
7084,D018325-ZZ-AVG,D018325,피자빵,빵류,기타 빵류
7085,D018326-ZZ-AVG,D018326,햄버거,빵류,버거류
7086,D018327-ZZ-AVG,D018327,햄샌드위치,빵류,샌드위치류
7087,D018328-ZZ-AVG,D018328,햄치즈샌드위치,빵류,샌드위치류
7088,D018329-ZZ-AVG,D018329,호떡,빵류,기타 빵류
7089,D018330-ZZ-AVG,D018330,가오리회무침,생채및 무침류,어패류무침
7090,D018331-ZZ-AVG,D018331,감자샐러드,생채및 무침류,샐러드
7091,D018332-ZZ-AVG,D018332,골뱅이국수무침,생채및 무침류,어패류무침
7092,D018333-ZZ-AVG,D018333,과일샐러드,생채및 무침류,샐러드
7093,D018334-ZZ-AVG,D018334,굴무생채,생채및 무침류,어패류무침
7094,D018335-ZZ-AVG,D018335,굴무침,생채및 무침류,어패류무침
7095,D018336-ZZ-AVG,D018336,김무침,생채및 무침류,어패류무침
7096,D018337-ZZ-AVG,D018337,낙지무침,생채및 무침류,어패류무침
7097,D018338-ZZ-AVG,D018338,느타리버섯무침,생채및 무침류,나물.채소류무침
7098,D018339-ZZ-AVG,D018339,다시마무침,생채및 무침류,어패류무침
7099,D018340-ZZ-AVG,D018340,단호박샐러드,생채및 무침류,샐러드
7100,D018341-ZZ-AVG,D018341,달래무침,생채및 무침류,나물.채소류무침
7101,D018342-ZZ-AVG,D018342,닭가슴살샐러드,생채및 무침류,샐러드
7102,D018343-ZZ-AVG,D018343,닭고기냉채,생채및 무침류,기타 생채.무침류
7103,D018344-ZZ-AVG,D018344,도라지생채,생채및 무침류,나물.채소류무침
7104,D018345-ZZ-AVG,D018345,도라지오이생채,생채및 무침류,나물.채소류무침
7105,D018346-ZZ-AVG,D018346,도토리묵 무침,생채및 무침류,기타 생채.무침류
7106,D018347-ZZ-AVG,D018347,돌나물무침,생채및 무침류,나물.채소류무침
7107,D018348-ZZ-AVG,D018348,두릅초고추장무침,생채및 무침류,나물.채소류무침
7108,D018349-ZZ-AVG,D018349,마늘쫑무침,생채및 무침류,나물.채소류무침
7109,D018350-ZZ-AVG,D018350,무말랭이무침,생채및 무침류,나물.채소류무침
7110,D018351-ZZ-AVG,D018351,무생채,생채및 무침류,나물.채소류무침
7111,D018352-ZZ-AVG,D018352,미나리무침,생채및 무침류,나물.채소류무침
7112,D018353-ZZ-AVG,D018353,미역초무침,생채및 무침류,어패류무침
7113,D018354-ZZ-AVG,D018354,민들레잎무침,생채및 무침류,나물.채소류무침
7114,D018355-ZZ-AVG,D018355,배추겉절이,생채및 무침류,나물.채소류무침
7115,D018356-ZZ-AVG,D018356,부추무침,생채및 무침류,나물.채소류무침
7116,D018357-ZZ-AVG,D018357,북어채무침,생채및 무침류,어패류무침
7117,D018358-ZZ-AVG,D018358,상추겉절이,생채및 무침류,나물.채소류무침
7118,D018359-ZZ-AVG,D018359,새싹채소샐러드,생채및 무침류,샐러드
7119,D018360-ZZ-AVG,D018360,양배추샐러드,생채및 무침류,샐러드
7120,D018361-ZZ-AVG,D018361,양상추샐러드,생채및 무침류,샐러드
7121,D018362-ZZ-AVG,D018362,양장피,생채및 무침류,기타 생채.무침류
7122,D018363-ZZ-AVG,D018363,양파부추무침,생채및 무침류,나물.채소류무침
7123,D018364-ZZ-AVG,D018364,열무겉절이,생채및 무침류,나물.채소류무침
7124,D018365-ZZ-AVG,D018365,오이부추무침,생채및 무침류,나물.채소류무침
7125,D018366-ZZ-AVG,D018366,오이생채,생채및 무침류,나물.채소류무침
7126,D018367-ZZ-AVG,D018367,오이지무침,생채및 무침류,나물.채소류무침
7127,D018368-ZZ-AVG,D018368,오징어무침,생채및 무침류,어패류무침
7128,D018369-ZZ-AVG,D018369,오징어물회,생채및 무침류,어패류무침
7129,D018370-ZZ-AVG,D018370,오징어채무침,생채및 무침류,어패류무침
7130,D018371-ZZ-AVG,D018371,오징어채소무침,생채및 무침류,어패류무침
7131,D018372-ZZ-AVG,D018372,옥수수샐러드,생채및 무침류,샐러드
7132,D018373-ZZ-AVG,D018373,참치샐러드,생채및 무침류,샐러드
7133,D018374-ZZ-AVG,D018374,채소샐러드,생채및 무침류,샐러드
7134,D018375-ZZ-AVG,D018375,치커리겉절이,생채및 무침류,나물.채소류무침
7135,D018376-ZZ-AVG,D018376,파래무침,생채및 무침류,어패류무침
7136,D018377-ZZ-AVG,D018377,파무침,생채및 무침류,나물.채소류무침
7137,D018378-ZZ-AVG,D018378,풋고추된장무침,생채및 무침류,나물.채소류무침
7138,D018379-ZZ-AVG,D018379,풋마늘무침,생채및 무침류,나물.채소류무침
7139,D018380-ZZ-AVG,D018380,피조개무침,생채및 무침류,어패류무침
7140,D018381-ZZ-AVG,D018381,해초무침,생채및 무침류,어패류무침
7141,D018382-ZZ-AVG,D018382,호박오가리나물무침,생채및 무침류,나물.채소류무침
7142,D018383-ZZ-AVG,D018383,회무침,생채및 무침류,어패류무침
7143,D018384-ZZ-AVG,D018384,육회,회류,회류
7144,D018385-ZZ-AVG,D018385,팥빙수,아이스크림류,빙수류
7145,D018386-ZZ-AVG,D018386,미숫가루,음료 및 차류,기타 음료류
7146,D018387-ZZ-AVG,D018387,고추장아찌,장아찌 및 절임류,장아찌.절임류
7147,D018388-ZZ-AVG,D018388,깻잎장아찌,장아찌 및 절임류,장아찌.절임류
7148,D018389-ZZ-AVG,D018389,단무지,장아찌 및 절임류,장아찌.절임류
7149,D018390-ZZ-AVG,D018390,더덕장아찌,장아찌 및 절임류,장아찌.절임류
7150,D018391-ZZ-AVG,D018391,마늘장아찌,장아찌 및 절임류,장아찌.절임류
7151,D018392-ZZ-AVG,D018392,무짠지,장아찌 및 절임류,장아찌.절임류
7152,D018393-ZZ-AVG,D018393,양파장아찌,장아찌 및 절임류,장아찌.절임류
7153,D018394-ZZ-AVG,D018394,오이장아찌,장아찌 및 절임류,장아찌.절임류
7154,D018395-ZZ-AVG,D018395,오이지,장아찌 및 절임류,장아찌.절임류
7155,D018396-ZZ-AVG,D018396,일본매실장아찌,장아찌 및 절임류,장아찌.절임류
7156,D018397-ZZ-AVG,D018397,치킨무,장아찌 및 절임류,장아찌.절임류
7157,D018398-ZZ-AVG,D018398,가지전,전.적 및 부침류,채소류전
7158,D018399-ZZ-AVG,D018399,감자전,전.적 및 부침류,채소류전
7159,D018400-ZZ-AVG,D018400,고구마전,전.적 및 부침류,채소류전
7160,D018401-ZZ-AVG,D018401,김치전,전.적 및 부침류,채소류전
7161,D018402-ZZ-AVG,D018402,달걀말이,전.적 및 부침류,기타 전.적
7162,D018403-ZZ-AVG,D018403,달걀프라이,전.적 및 부침류,기타 전.적
7163,D018404-ZZ-AVG,D018404,돼지고기완자전,전.적 및 부침류,육류전
7164,D018405-ZZ-AVG,D018405,두부부침,전.적 및 부침류,채소류전
7165,D018406-ZZ-AVG,D018406,떡갈비,전.적 및 부침류,육류전
7166,D018407-ZZ-AVG,D018407,맛살전,전.적 및 부침류,기타 전.적
7167,D018408-ZZ-AVG,D018408,메밀전,전.적 및 부침류,기타 전.적
7168,D018409-ZZ-AVG,D018409,부추전,전.적 및 부침류,채소류전
7169,D018410-ZZ-AVG,D018410,쇠고기완자전,전.적 및 부침류,육류전
7170,D018411-ZZ-AVG,D018411,스크램블드에그,전.적 및 부침류,기타 전.적
7171,D018412-ZZ-AVG,D018412,애호박전,전.적 및 부침류,채소류전
7172,D018413-ZZ-AVG,D018413,참치완자전,전.적 및 부침류,어패류전
7173,D018414-ZZ-AVG,D018414,채소전,전.적 및 부침류,채소류전
7174,D018415-ZZ-AVG,D018415,표고버섯전,전.적 및 부침류,채소류전
7175,D018416-ZZ-AVG,D018416,해물완자전,전.적 및 부침류,어패류전
7176,D018417-ZZ-AVG,D018417,해물파전,전.적 및 부침류,어패류전
7177,D018418-ZZ-AVG,D018418,햄달걀부침,전.적 및 부침류,육류전
7178,D018419-ZZ-AVG,D018419,가자미식해,젓갈류,젓갈류
7179,D018420-ZZ-AVG,D018420,간장게장,젓갈류,젓갈류
7180,D018421-ZZ-AVG,D018421,양념갈치젓,젓갈류,젓갈류
7181,D018422-ZZ-AVG,D018422,양념게장,젓갈류,젓갈류
7182,D018423-ZZ-AVG,D018423,양념멸치젓,젓갈류,젓갈류
7183,D018424-ZZ-AVG,D018424,양념새우젓,젓갈류,젓갈류
