Menu,Category,괄호
가오리회무침,한식,['(gaori hoe muchim)']
가자미찜,한식,['(gajami jjim)']
국산대게찜,한식,['(guksan daege jjim)']
고추장찜닭,한식,['(gochujang jjimdak)']
가지나물,한식,['(gaji namul)']
개성나물,한식,['(Gaeseong namul)']
고사리나물,한식,['(gosari namul)']
깻잎순나물,한식,['(kkaennipsun namul)']
꽃게무침,한식,['(kkotge muchim)']
골뱅이무침,한식,['(golbaengi muchim)']
골뱅이미나리무침,한식,['(golbaengi minari muchim)']
굴무침,한식,['(gul muchim)']
깻잎무침,한식,['(kkaennip muchim)']
고구마순된장무침,한식,['(gogumasun doenjang muchim)']
간재미무침,한식,['(ganjaemi muchim)']
굴회무침,한식,['(gul hoe muchim)']
가지구이냉채,한식,['(gaji gui naengchae)']
게맛살냉채,한식,['(gematsal naengchae)']
궁중삼품냉채,한식,['(gungjung sampum naengchae)']
겨자채,한식,['(gyeoja chae)']
궁중잡채,한식,['(gungjung japchae)']
깻잎지,한식,['(kkaennipji)']
구절판,한식,['(gujeolpan)']
계절샐러드,한식,['(gyejeol salad)']
궁중꽃게무침,한식,['(gungjung kkotge muchim)']
과메기무침,한식,['(gwamegi muchim)']
겨자족냉채,한식,['(gyeoja jok naengchae)']
계절나물,한식,['(gyejeol namul)']
고구마순나물,한식,['(goguma sun namul)']
가오리무침,한식,['(gaori muchim)']
가자미무침,한식,['(gajami muchim)']
가자미회무침,한식,['(gajami hoemuchim)']
꼬막무침,한식,['(kkomak muchim)']
김무침,한식,['(gim muchim)']
굴양념무침,한식,['(gul yangnyeom muchim)']
골뱅이콩나물무침,한식,['(golbaengi kongnamul muchim)']
고등어조림,한식,['(godeungeo jorim)']
김치고등어조림,한식,['(kimchi godeungeo jorim)']
고등어김치조림,한식,['(godeungeo kimchi jorim)']
가자미조림,한식,['(gajami jorim)']
갈치조림,한식,['(galchi jorim)']
감자조림,한식,['(gamja jorim)']
고기산적조림,한식,['(gogi sanjeok jorim)']
가오리조림,한식,['(gaorij orim)']
곤드레생선조림,한식,['(gondeure saengseon jorim)']
곤드레고등어조림,한식,['(gondeure godeungeo jorim)']
꽈리고추멸치볶음,한식,['(kkwarigochu myeolchi bokkeum)']
고기볶음,한식,['(gogi bokkeum)']
곱창볶음,한식,['(gopchang bokkeum)']
곱창야채볶음,한식,['(gopchang yachae bokkeum)']
고추쇠고기볶음,한식,['(gochu soegogi bokkeum)']
감자닭볶음,한식,['(gamja dak bokkeum)']
고추닭고기볶음,한식,['(gochu dakgogi bokkeum)']
꼼장어볶음,한식,['(kkomjangeo bokkeum)']
구운어묵볶음,한식,['(guun eomuk bokkeum)']
고추돼지고기볶음,한식,['(gochu dwaejigogi bokkeum)']
관자고추볶음,한식,['(gwanja gochu bokkeum)']
"관자,전복,새우볶음",한식,"['(gwanja, jeonbok, saeu bokkeum)']"
감자채볶음,한식,['(gamjachae bokkeum)']
고추새우볶음,한식,['(gochu saeu bokkeum)']
갑오징어볶음,한식,['(gabojingeo bokkeum)']
고추잡채,한식,['(gochu japchae)']
곤약잡채,한식,['(konjac japchae)']
감자볶음,한식,['(gamja bokkeum)']
건두부볶음,한식,['(geon dubu bokkeum)']
건새우볶음,한식,['(geon saeu bokkeum)']
깻잎나물볶음,한식,['(kkaennip namul bokkeum)']
김치문어볶음,한식,['(kimchi muneo bokkeum)']
김치볶음,한식,['(kimchi bokkeum)']
